Complexity,Loss,Equation
1,0.9999998,"-5.4823076e-6"
3,0.9951189,"x4 * 0.06986199"
4,0.99488163,"sin(x4 * 0.07656924)"
5,0.9864888,"(x0 * 0.119614646) * x4"
6,0.96896935,"abs(x3) * max(x4, -0.006526546)"
7,0.8328253,"x4 * max(x1 * x4, 0.011484094)"
8,0.7960529,"max(0.011437878, sin(x1) * x4) * x4"
9,0.7116995,"max(-0.025220655, x1 * x4) * (x0 + x4)"
10,0.49228325,"(max(-0.025997007, sin(x1) * x4) * x4) * x0"
12,0.31717762,"(max(x1, x4 * exp(x1 + x0)) * x4) * 0.03814232"
13,0.31697136,"max(-0.03638739, (abs(x4) * 0.038144756) * (x4 * exp(x0 + x1)))"
14,0.29451427,"max(-0.026485082, ((x4 * exp(x1 + x0)) * 0.3920025) * abs(sin(x3)))"
15,0.28813928,"max(-0.044718325, x4 * ((exp(min(x4, x0) + x1) * 0.039751656) * abs(x4)))"
